triangle_index,node_1,node_2,node_3,supernode_group
394,128,233,245,6
395,129,142,203,6
396,130,226,247,6
397,131,134,198,6
398,131,134,220,6
399,131,198,209,6
400,132,137,177,6
401,133,173,190,6
402,133,190,243,6
403,134,198,236,6
404,135,136,138,6
405,135,136,150,6
406,135,138,192,6
407,135,150,169,6
408,135,169,214,6
409,135,192,214,6
410,136,138,172,6
411,138,172,215,6
412,138,192,213,6
413,138,213,215,6
414,140,148,171,6
415,140,148,176,6
416,140,170,176,6
417,140,170,211,6
418,141,241,242,6
419,147,177,215,6
420,147,187,213,6
421,147,213,215,6
422,148,152,175,6
423,148,171,175,6
424,149,150,170,6
425,149,170,176,6
426,150,169,170,6
427,151,337,338,2
428,152,175,377,6
429,161,246,247,6
430,164,267,393,2
431,165,203,206,6
432,166,218,219,6
433,168,351,417,9
434,169,170,211,6
435,169,210,211,6
436,169,210,214,6
437,171,175,199,6
438,171,199,208,6
439,174,188,196,6
440,174,196,236,6
441,174,217,236,6
442,175,199,396,6
443,175,377,396,9
444,182,194,201,6
445,186,212,216,6
446,187,192,213,6
447,187,192,214,6
448,187,205,207,6
449,187,207,214,6
450,189,190,221,6
451,189,190,243,6
452,189,193,244,6
453,189,243,244,6
454,193,244,245,6
455,194,204,211,6
456,195,197,248,6
457,195,248,281,6
458,197,248,419,6
459,198,209,217,6
460,198,217,236,6
461,199,200,208,6
462,199,200,428,6
463,199,396,428,9
464,200,201,208,6
465,200,421,428,9
466,202,204,210,6
467,202,210,214,6
468,202,212,214,6
469,204,210,211,6
470,205,206,216,6
471,205,207,216,6
472,207,212,214,6
473,207,212,216,6
474,218,220,237,6
475,233,244,245,6
476,237,239,241,6
477,238,239,241,6
478,238,241,242,6
479,248,281,456,4
480,248,419,456,9
481,249,255,263,6
482,249,255,339,6
483,249,339,390,6
484,250,290,328,6
485,250,290,392,4
486,250,309,392,6
487,250,309,459,2
488,250,328,462,6
489,250,458,459,9
490,250,458,462,9
491,251,284,298,2
492,251,298,301,2
493,251,301,389,2
494,252,253,374,6
495,252,253,450,6
496,252,256,381,6
497,252,256,451,6
498,252,374,380,9
499,252,380,381,9
500,252,450,451,9
501,253,254,373,6
502,253,254,449,6
503,253,373,374,9
504,253,449,450,9
505,254,339,373,2
506,254,339,448,6
507,254,448,449,9
508,255,261,446,6
509,255,261,448,6
510,255,263,359,2
511,255,339,448,9
512,255,359,446,2
513,256,341,382,6
514,256,341,452,9
515,256,381,382,9
516,256,451,452,9
517,257,258,386,6
518,257,258,442,6
519,257,259,387,6
520,257,259,443,6
521,257,386,387,9
522,257,442,443,9
523,258,286,384,9
524,258,286,441,4
525,258,384,385,9
526,258,385,386,9
527,258,441,442,9
528,259,260,387,6
529,259,260,444,6
530,259,443,444,9
531,260,387,388,9
532,260,388,466,9
533,260,444,445,9
534,260,445,467,9
535,260,466,467,9
536,261,340,346,2
537,261,340,446,2
538,261,346,448,2
539,262,369,396,9
540,262,369,431,9
541,262,396,428,9
542,262,418,421,9
543,262,418,431,9
544,262,421,428,9
545,263,359,467,2
546,263,466,467,9
547,264,356,368,2
548,264,356,454,2
549,264,368,383,9
550,264,372,383,9
551,264,372,447,9
552,264,447,454,9
553,265,340,372,2
554,265,340,446,2
555,265,342,353,2
556,265,342,446,2
557,265,353,372,2
558,266,329,330,2
559,266,329,371,2
560,266,330,425,2
561,266,371,423,9
562,266,423,426,9
563,266,425,426,9
564,267,269,302,2
565,267,269,393,2
566,268,271,302,2
567,268,271,311,2
568,268,311,312,2
569,269,270,303,2
570,269,270,322,2
571,269,302,303,2
572,269,322,391,2
573,269,391,393,9
574,270,303,304,2
575,270,304,409,2
576,270,322,410,2
577,270,409,410,9
578,271,272,304,2
579,271,272,311,2
580,271,302,303,2
581,271,303,304,2
582,272,304,408,2
583,272,310,311,2
584,272,310,407,2
585,272,407,408,9
586,273,287,291,4
587,273,287,422,2
588,273,291,375,4
589,273,321,335,2
590,273,321,375,2
591,273,335,424,2
592,273,422,424,9
593,274,275,440,2
594,274,354,457,2
595,274,440,457,9
596,275,281,363,4
597,275,363,440,9
598,276,283,293,4
599,276,283,445,4
600,276,293,300,4
601,276,300,383,9
602,276,342,353,2
603,276,342,445,9
604,276,353,383,4
605,277,329,350,2
606,277,329,355,2
607,277,343,357,2
608,277,343,437,4
609,277,350,357,2
610,277,355,437,4
611,278,279,294,4
612,278,279,360,4
613,278,294,455,4
614,278,344,360,2
615,278,344,439,9
616,278,439,455,9
617,279,294,331,4
618,279,294,358,4
619,279,331,358,2
620,279,358,429,9
621,279,360,429,9
622,280,330,347,2
623,280,330,425,2
624,280,346,347,2
625,280,346,352,2
626,280,352,411,9
627,280,411,425,9
628,281,363,456,9
629,282,283,293,4
630,282,283,443,4
631,282,293,334,4
632,282,295,296,4
633,282,295,442,4
634,282,296,334,2
635,282,442,443,9
636,283,443,444,9
637,283,444,445,9
638,284,298,333,2
639,284,332,333,2
640,285,295,336,4
641,285,295,441,4
642,285,413,417,9
643,285,413,441,9
644,286,384,398,9
645,286,398,414,9
646,286,414,441,9
647,287,291,409,4
648,287,409,410,9
649,287,410,432,9
650,287,422,432,9
651,288,361,401,2
652,288,397,435,9
653,288,401,435,9
654,289,290,305,4
655,289,290,392,4
656,289,305,455,4
657,289,392,439,9
658,289,439,455,9
659,290,305,460,9
660,290,328,460,4
661,291,306,375,2
662,291,306,408,4
663,291,408,409,9
664,292,306,307,2
665,292,306,407,2
666,292,307,325,2
667,292,308,325,2
668,292,308,415,2
669,292,407,415,9
670,293,298,301,2
671,293,298,333,2
672,293,300,301,2
673,293,333,334,2
674,294,327,358,2
675,294,327,460,9
676,294,331,358,2
677,294,455,460,9
678,295,296,336,2
679,295,441,442,9
680,296,299,334,2
681,296,299,336,2
682,297,299,333,2
683,297,299,337,2
684,297,332,333,2
685,297,337,338,2
686,299,333,334,2
687,299,336,337,2
688,300,301,368,2
689,300,368,383,9
690,301,368,389,9
691,304,408,409,9
692,305,455,460,9
693,306,307,375,2
694,306,407,408,9
695,307,320,321,2
696,307,320,325,2
697,307,321,375,2
698,308,324,325,2
699,309,392,438,9
700,309,438,457,9
701,309,457,459,9
702,310,407,415,9
703,313,314,405,2
704,313,405,406,9
705,313,406,421,9
706,314,315,404,2
707,314,404,405,9
708,315,316,403,2
709,315,403,404,9
710,316,317,402,2
711,316,402,403,9
712,318,319,325,2
713,318,319,403,2
714,318,324,325,2
715,318,402,403,9
716,319,320,325,2
717,319,320,404,2
718,319,403,404,9
719,320,321,405,2
720,320,404,405,9
721,321,335,406,2
722,321,405,406,9
723,322,391,426,9
724,322,410,436,9
725,322,426,436,9
726,323,361,366,2
727,323,366,447,9
728,323,447,454,9
729,326,327,328,2
730,326,327,391,2
731,326,328,462,2
732,326,370,462,9
733,326,391,393,9
734,327,328,460,2
735,327,358,423,2
736,327,391,423,9
737,329,330,349,2
738,329,349,350,2
739,329,355,371,2
740,330,347,348,2
741,330,348,349,2
742,335,406,418,9
743,335,418,424,9
744,339,373,390,9
745,340,345,352,2
746,340,345,372,2
747,340,346,352,2
748,341,362,382,2
749,341,362,463,2
750,341,452,453,9
751,341,453,464,9
752,341,463,464,9
753,342,445,467,9
754,342,446,467,9
755,343,357,412,2
756,343,399,412,9
757,343,399,437,9
758,344,360,440,2
759,344,438,439,9
760,344,438,440,9
761,345,352,366,2
762,345,366,447,9
763,345,372,447,9
764,346,347,449,2
765,346,448,449,9
766,347,348,450,2
767,347,449,450,9
768,348,349,450,2
769,349,350,452,2
770,349,450,451,9
771,349,451,452,9
772,350,357,452,2
773,351,412,419,9
774,351,412,465,9
775,351,417,465,9
776,352,366,401,9
777,352,376,401,9
778,352,376,411,9
779,353,372,383,9
780,354,370,461,9
781,354,457,461,9
782,355,358,371,2
783,355,358,429,2
784,355,429,437,9
785,356,368,389,9
786,357,412,465,9
787,357,452,453,9
788,357,453,465,9
789,358,371,423,9
790,359,446,467,9
791,360,363,420,9
792,360,363,440,9
793,360,420,429,9
794,361,366,401,9
795,362,398,414,9
796,362,414,463,9
797,363,420,456,9
798,364,365,367,9
799,364,365,379,9
800,364,367,416,9
801,364,379,394,9
802,364,394,434,9
803,364,416,434,9
804,365,367,397,9
805,367,397,435,9
806,367,416,433,9
807,367,433,435,9
808,369,377,396,9
809,369,377,400,9
810,369,395,400,9
811,369,395,431,9
812,370,461,462,9
813,376,401,435,9
814,376,411,433,9
815,376,433,435,9
816,378,379,395,9
817,378,395,400,9
818,379,394,395,9
819,391,423,426,9
820,392,438,439,9
821,394,395,431,9
822,394,430,431,9
823,394,430,434,9
824,399,412,419,9
825,399,419,456,9
826,399,437,456,9
827,406,418,421,9
828,410,432,436,9
829,411,416,433,9
830,411,416,434,9
831,411,425,427,9
832,411,427,434,9
833,413,414,441,9
834,413,414,463,9
835,413,417,464,9
836,413,463,464,9
837,417,464,465,9
838,418,424,431,9
839,420,429,437,9
840,420,437,456,9
841,422,424,430,9
842,422,430,434,9
843,422,432,434,9
844,424,430,431,9
845,425,426,436,9
846,425,427,436,9
847,427,432,434,9
848,427,432,436,9
849,438,440,457,9
850,453,464,465,9
851,457,459,461,9
852,458,459,461,9
853,458,461,462,9
